,Company,NACE,Consolidation code,Year,TE,TL,CA,CFO,CFF,CFI,CL,DA,EBIDTA,TDA,FA,LTD,ND,NI,NP,EBIT,DeltaLTB,DeltaSTB,LB,TA,ITE,IA
12,5E RESOURCES LTD,3900.0,C1,2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,5E RESOURCES LTD,3900.0,C1,2017,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,5E RESOURCES LTD,3900.0,C1,2018,7115138.42219114,5139543.37567091,4352059.9783361,2675848.77020121,-1357255.06070256,-648060.899555683,1509000.86417794,691071.652770042,3152108.29034448,-691071.652770042,7771898.12576771,3420563.04776669,2033345.43988109,2226652.19590068,1707381.92254305,2461278.27101946,-1102090.1427567,n.a.,265313.52263689,12254681.7978621,-519270.27335763,n.a.
15,5E RESOURCES LTD,3900.0,C1,2019,10149053.1626344,3616615.76646566,4927061.70630455,5402076.97892189,-2830299.33267832,-2036896.76570892,3128649.97458458,726450.825870037,4557605.38315773,-726450.825870037,8838607.22279549,139279.169440269,-1619059.25738811,3901527.19026804,2953940.13923407,3843860.72713137,-2715455.10524511,n.a.,932437.386989594,13765668.9291,-947587.051033974,n.a.
16,5E RESOURCES LTD,3900.0,C1,2020,11235235.6974632,4179915.35452008,7021928.86461318,1777224.05558825,-284575.136214495,1021181.18056655,3706952.47489214,825816.113322973,3642661.41960025,-825816.113322973,8301021.83675766,41614.752843976,-3230500.93334913,2816097.7358669,2004983.84061456,2828058.86243284,-224021.932974458,n.a.,868676.816850901,15415151.0519832,-811113.895252347,n.a.
17,5E RESOURCES LTD,3900.0,C1,2021,13022988.2884026,4241139.77596164,8408524.76388216,3222461.63204312,429358.230382204,-2437021.03212476,3000239.41352963,675047.881454229,4079741.31122231,-675047.881454229,8838840.84865451,659722.21121192,-3770354.34320569,3382662.77879477,2226293.066293,3403975.03897548,468869.723975658,n.a.,792863.971441984,17264128.0643642,-1156369.71250176,n.a.
18,5E RESOURCES LTD,3900.0,C1,2022,21707455.926761,6164287.52623498,16398595.5744237,4631996.51964009,5745298.1634438,-1552458.69360864,2992068.98123026,752775.913029909,4545434.08773839,-752775.913029909,11407432.943359,2753229.18221354,-11023340.4771984,3940630.08055091,2791751.73044205,3771810.67802012,-806254.274100065,n.a.,81803.7641793489,27871743.452996,-1148878.35010886,n.a.
19,5E RESOURCES LTD,3900.0,C1,2023,24304693.2838112,5790264.57855105,16592181.08733,4406620.89888752,-1501470.09721398,-2596319.26731765,2852444.71471012,742458.886191249,6437765.39070904,-742458.886191249,13502776.7750323,2643798.30433428,-10855058.1832379,6076445.56313753,4695850.99594295,5713383.38558376,-128716.10493958,n.a.,99531.7427366972,30094957.8623623,-1380594.56719458,n.a.
20,8I HOLDINGS LIMITED,7022.0,C1,2004,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,8I HOLDINGS LIMITED,7022.0,C1,2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,8I HOLDINGS LIMITED,7022.0,C1,2006,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,8I HOLDINGS LIMITED,7022.0,C1,2007,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
